"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"Source dataset ID","QNA"
"PreUnit","£"
"Unit","m"
"Release date","30-06-2017"
"Next release","26 July 2017"
"Important notes",
"2007 Q2","426600"
"2007 Q3","429845"
"2007 Q4","433079"
"2008 Q1","433710"
"2008 Q2","430887"
"2008 Q3","423618"
"2008 Q4","414037"
"2009 Q1","407291"
"2009 Q2","406353"
"2009 Q3","406641"
"2009 Q4","408298"
"2010 Q1","410542"
"2010 Q2","414699"
"2010 Q3","417024"
"2010 Q4","417507"
"2011 Q1","419828"
"2011 Q2","420109"
"2011 Q3","421918"
"2011 Q4","422965"
"2012 Q1","424834"
"2012 Q2","424468"
"2012 Q3","429319"
"2012 Q4","428321"
"2013 Q1","431025"
"2013 Q2","433271"
"2013 Q3","436560"
"2013 Q4","438707"
"2014 Q1","442425"
"2014 Q2","446519"
"2014 Q3","450141"
"2014 Q4","453891"
"2015 Q1","455026"
"2015 Q2","457214"
"2015 Q3","458456"
"2015 Q4","461622"
"2016 Q1","462333"
"2016 Q2","465113"
"2016 Q3","467437"
"2016 Q4","470527"
"2017 Q1","471524"
